# cfh_batch: enumerating strict hypothesis-meeting (A,k) and certifying
# max_base=20, sizes [3, 5], k in [1, 2]
# A                              k   R        c*           T*           step    
  {3,4,5,16,18}                  1   1.209    15           16           6       
  {3,4,5,16,18}                  2   1.209    2489         5832         5       
  {3,4,5,16,19}                  1   1.206    15           16           6       
  {3,4,5,16,19}                  2   1.206    1300         3125         5       
  {3,4,5,16,20}                  1   1.203    26           64           6       
  {3,4,5,16,20}                  2   1.203    3081         6561         5       
  {3,4,5,17,18}                  1   1.205    15           25           7       
  {3,4,5,17,18}                  2   1.205    1032         3125         5       
  {3,4,5,17,19}                  1   1.201    15           16           6       
  {3,4,5,17,19}                  2   1.201    1016         3125         5       
  {3,4,5,17,20}                  1   1.198    19           16           6       
  {3,4,5,17,20}                  2   1.198    1300         3125         5       
  {3,4,5,18,19}                  1   1.198    15           25           7       
  {3,4,5,18,19}                  2   1.198    1368         3125         5       
  {3,4,5,18,20}                  1   1.195    19           16           7       
  {3,4,5,18,20}                  2   1.195    1974         5832         6       
  {3,4,5,19,20}                  1   1.192    15           25           7       
  {3,4,5,19,20}                  2   1.192    1286         3125         6       
  {3,4,6,7,8}                    1   1.343    5            16           6       
  {3,4,6,7,8}                    2   1.343    574          1296         6       
  {3,4,6,7,9}                    1   1.325    8            16           7       
  {3,4,6,7,9}                    2   1.325    420          1296         7       
  {3,4,6,7,10}                   1   1.311    8            16           6       
  {3,4,6,7,10}                   2   1.311    1013         1296         6       
  {3,4,6,7,11}                   1   1.3      8            16           6       
  {3,4,6,7,11}                   2   1.3      541          1296         5       
  {3,4,6,7,12}                   1   1.291    8            16           6       
  {3,4,6,7,12}                   2   1.291    442          1296         6       
  {3,4,6,7,13}                   1   1.283    21           49           7       
  {3,4,6,7,13}                   2   1.283    478          1296         6       
  {3,4,6,7,14}                   1   1.277    8            16           6       
  {3,4,6,7,14}                   2   1.277    1029         2744         7       
  {3,4,6,7,15}                   1   1.271    8            16           6       
  {3,4,6,7,15}                   2   1.271    1272         3375         7       
  {3,4,6,7,16}                   1   1.267    24           49           7       
  {3,4,6,7,16}                   2   1.267    2062         4096         6       
  {3,4,6,7,17}                   1   1.263    8            16           6       
  {3,4,6,7,17}                   2   1.263    799          1296         7       
  {3,4,6,7,18}                   1   1.259    8            16           6       
  {3,4,6,7,18}                   2   1.259    834          1296         7       
  {3,4,6,7,19}                   1   1.256    24           49           6       
  {3,4,6,7,19}                   2   1.256    1399         4096         7       
  {3,4,6,7,20}                   1   1.253    21           49           6       
  {3,4,6,7,20}                   2   1.253    577          1296         7       
  {3,4,6,8,9}                    1   1.301    5            16           7       
  {3,4,6,8,9}                    2   1.301    1086         1296         7       
  {3,4,6,8,10}                   1   1.287    5            16           7       
  {3,4,6,8,10}                   2   1.287    1186         1296         7       
  {3,4,6,8,11}                   1   1.276    5            16           6       
  {3,4,6,8,11}                   2   1.276    743          1296         6       
  {3,4,6,8,12}                   1   1.267    5            16           6       
  {3,4,6,8,12}                   2   1.267    1086         4096         5       
  {3,4,6,8,13}                   1   1.26     5            16           6       
  {3,4,6,8,13}                   2   1.26     1019         1296         7       
  {3,4,6,8,14}                   1   1.253    5            16           6       
  {3,4,6,8,14}                   2   1.253    995          1296         7       
  {3,4,6,8,15}                   1   1.248    5            16           6       
  {3,4,6,8,15}                   2   1.248    1311         3375         5       
  {3,4,6,8,16}                   1   1.243    5            16           6       
  {3,4,6,8,16}                   2   1.243    6342         16384        7       
  {3,4,6,8,17}                   1   1.239    5            16           6       
  {3,4,6,8,17}                   2   1.239    1086         1296         7       
  {3,4,6,8,18}                   1   1.235    5            16           6       
  {3,4,6,8,18}                   2   1.235    1086         1296         7       
  {3,4,6,8,19}                   1   1.232    5            16           6       
  {3,4,6,8,19}                   2   1.232    1311         4096         5       
  {3,4,6,8,20}                   1   1.229    5            27           5       
  {3,4,6,8,20}                   2   1.229    1186         1296         7       
  {3,4,6,9,10}                   1   1.269    11           16           7       
  {3,4,6,9,10}                   2   1.269    1122         1296         7       
  {3,4,6,9,11}                   1   1.258    8            16           7       
  {3,4,6,9,11}                   2   1.258    1095         1296         7       
  {3,4,6,9,12}                   1   1.249    17           64           7       
  {3,4,6,9,12}                   2   1.249    2535         6561         6       
  {3,4,6,9,13}                   1   1.242    14           64           7       
  {3,4,6,9,13}                   2   1.242    1200         4096         6       
  {3,4,6,9,14}                   1   1.235    11           16           6       
  {3,4,6,9,14}                   2   1.235    1165         2744         6       
  {3,4,6,9,15}                   1   1.23     17           27           5       
  {3,4,6,9,15}                   2   1.23     1968         6561         5       
  {3,4,6,9,16}                   1   1.225    17           64           7       
  {3,4,6,9,16}                   2   1.225    6320         16384        7       
  {3,4,6,9,17}                   1   1.221    14           16           6       
  {3,4,6,9,17}                   2   1.221    1284         4096         5       
  {3,4,6,9,18}                   1   1.217    17           27           5       
  {3,4,6,9,18}                   2   1.217    1284         4096         5       
  {3,4,6,9,19}                   1   1.214    17           64           6       
  {3,4,6,9,19}                   2   1.214    1239         1296         7       
  {3,4,6,9,20}                   1   1.211    17           16           6       
  {3,4,6,9,20}                   2   1.211    2416         6561         6       
  {3,4,6,10,11}                  1   1.244    8            16           7       
  {3,4,6,10,11}                  2   1.244    1159         1296         7       
  {3,4,6,10,12}                  1   1.235    11           16           7       
  {3,4,6,10,12}                  2   1.235    1263         4096         7       
  {3,4,6,10,13}                  1   1.228    24           64           7       
  {3,4,6,10,13}                  2   1.228    1219         4096         6       
  {3,4,6,10,14}                  1   1.221    11           16           6       
  {3,4,6,10,14}                  2   1.221    1234         1296         7       
  {3,4,6,10,15}                  1   1.216    11           16           6       
  {3,4,6,10,15}                  2   1.216    1311         1296         7       
  {3,4,6,10,16}                  1   1.211    24           64           7       
  {3,4,6,10,16}                  2   1.211    1770         6561         5       
  {3,4,6,10,17}                  1   1.207    11           16           6       
  {3,4,6,10,17}                  2   1.207    1311         1296         7       
  {3,4,6,10,18}                  1   1.203    11           16           6       
  {3,4,6,10,18}                  2   1.203    1558         4096         6       
  {3,4,6,10,19}                  1   1.2      24           64           6       
  {3,4,6,10,19}                  2   1.2      1338         4096         6       
  {3,4,6,10,20}                  1   1.197    21           64           6       
