# unified_batch: max_base=20, sizes [3, 6], k in [1, 2]
# 30542 coprime BaseSets enumerated
# A                              k   R        route   c*           T*           extra       
  {3,4,5,8,17}                   2   1.289    CFH     736          3125         step=5 
  {3,4,5,8,18}                   1   1.285    CFH     10           64           step=4 
  {3,4,5,8,18}                   2   1.285    CFH     703          3125         step=5 
  {3,4,5,8,19}                   1   1.282    CFH     10           64           step=4 
  {3,4,5,8,19}                   2   1.282    CFH     824          3125         step=5 
  {3,4,5,8,20}                   1   1.279    CFH     10           64           step=4 
  {3,4,5,8,20}                   2   1.279    CFH     719          3125         step=5 
  {3,4,5,9,10}                   1   1.319    CFH     11           64           step=5 
  {3,4,5,9,10}                   2   1.319    CFH     898          1000         step=7 
  {3,4,5,9,11}                   1   1.308    CFH     10           64           step=5 
  {3,4,5,9,11}                   2   1.308    CFH     913          3125         step=5 
  {3,4,5,9,12}                   1   1.299    CFH     11           64           step=5 
  {3,4,5,9,12}                   2   1.299    CFH     977          3125         step=6 
  {3,4,5,9,13}                   1   1.292    CFH     15           64           step=5 
  {3,4,5,9,13}                   2   1.292    CFH     1136         3125         step=6 
  {3,4,5,9,14}                   1   1.285    CFH     15           64           step=4 
  {3,4,5,9,14}                   2   1.285    CFH     1136         2744         step=5 
  {3,4,5,9,15}                   1   1.28     CFH     11           64           step=4 
  {3,4,5,9,15}                   2   1.28     CFH     898          3125         step=5 
  {3,4,5,9,16}                   1   1.275    CFH     15           64           step=4 
  {3,4,5,9,16}                   2   1.275    CFH     1304         3125         step=5 
  {3,4,5,9,17}                   1   1.271    CFH     15           64           step=4 
  {3,4,5,9,17}                   2   1.271    CFH     898          3125         step=5 
  {3,4,5,9,18}                   1   1.267    CFH     15           64           step=4 
  {3,4,5,9,18}                   2   1.267    CFH     950          3125         step=5 
  {3,4,5,9,19}                   1   1.264    CFH     15           64           step=4 
  {3,4,5,9,19}                   2   1.264    CFH     905          3125         step=5 
  {3,4,5,9,20}                   1   1.261    CFH     15           64           step=4 
  {3,4,5,9,20}                   2   1.261    CFH     1233         3125         step=5 
  {3,4,5,10,11}                  1   1.294    CFH     6            64           step=5 
  {3,4,5,10,11}                  2   1.294    CFH     928          3125         step=7 
  {3,4,5,10,12}                  1   1.285    CFH     11           64           step=5 
  {3,4,5,10,12}                  2   1.285    CFH     880          3125         step=6 
  {3,4,5,10,13}                  1   1.278    CFH     11           64           step=5 
  {3,4,5,10,13}                  2   1.278    CFH     889          3125         step=7 
  {3,4,5,10,14}                  1   1.271    CFH     11           64           step=5 
  {3,4,5,10,14}                  2   1.271    CFH     916          2744         step=5 
  {3,4,5,10,15}                  1   1.266    CFH     11           64           step=4 
  {3,4,5,10,15}                  2   1.266    CFH     925          3125         step=5 
  {3,4,5,10,16}                  1   1.261    CFH     11           64           step=4 
  {3,4,5,10,16}                  2   1.261    CFH     1236         3125         step=5 
  {3,4,5,10,17}                  1   1.257    CFH     11           64           step=4 
  {3,4,5,10,17}                  2   1.257    CFH     1007         3125         step=5 
  {3,4,5,10,18}                  1   1.253    CFH     11           64           step=4 
  {3,4,5,10,18}                  2   1.253    CFH     1007         3125         step=5 
  {3,4,5,10,19}                  1   1.25     CFH     11           64           step=4 
  {3,4,5,10,19}                  2   1.25     CFH     1007         3125         step=5 
